,station,calibration.Date,comments$calibration.Comments
1,Site-1,1/7/2019,
2,Site-2,1/7/2019,
3,Site-3,1/7/2019,
4,Site-4,1/7/2019,
5,Site-5,1/7/2019,
6,Site-6,1/7/2019,
7,Site-7,1/7/2019,
8,Site-8,1/7/2019,
9,Site-9,1/7/2019,
10,Site-10,1/7/2019,
11,Site-1,1/16/2019,
12,Site-2,1/16/2019,
13,Site-3,1/16/2019,
14,Site-4,1/16/2019,
15,Site-5,1/16/2019,
16,Site-6,1/16/2019,
17,Site-7,1/16/2019,
18,Site-8,1/16/2019,
19,Site-9,1/16/2019,
20,Site-10,1/16/2019,no data logger did not start
21,Site-1,1/23/2019,
22,Site-2,1/23/2019,
23,Site-3,1/23/2019,
24,Site-4,1/23/2019,
25,Site-5,1/23/2019,
26,Site-6,1/23/2019,
27,Site-7,1/23/2019,
28,Site-8,1/23/2019,
29,Site-9,1/23/2019,
30,Site-10,1/23/2019,
31,Site-1,1/28/2019,
32,Site-2,1/28/2019,
33,Site-3,1/28/2019,
34,Site-4,1/28/2019,
35,Site-5,1/28/2019,
36,Site-6,1/28/2019,
37,Site-7,1/28/2019,
38,Site-8,1/28/2019,
39,Site-9,1/28/2019,
40,Site-10,1/28/2019,
41,Site-1,2/6/2019,
42,Site-2,2/6/2019,
43,Site-3,2/6/2019,
44,Site-4,2/6/2019,
45,Site-5,2/6/2019,
46,Site-6,2/6/2019,
47,Site-7,2/6/2019,
48,Site-8,2/6/2019,
49,Site-9,2/6/2019,
50,Site-10,2/6/2019,
51,Site-1,2/13/2019,
52,Site-2,2/13/2019,
53,Site-3,2/13/2019,
54,Site-4,2/13/2019,
55,Site-5,2/13/2019,
56,Site-6,2/13/2019,
57,Site-7,2/13/2019,flow too high could not reach logger no calibration
58,Site-8,2/13/2019,
59,Site-9,2/13/2019,
60,Site-10,2/13/2019,
61,Site-1,2/27/2019,
62,Site-2,2/27/2019,Would not calibrate
63,Site-3,2/27/2019,
64,Site-4,2/27/2019,
65,Site-5,2/27/2019,
66,Site-6,2/27/2019,may have been out of water stream is very shallow. Conductivity also very low so maybe be showing a false positive for water detect
67,Site-7,2/27/2019,
68,Site-8,2/27/2019,
69,Site-9,2/27/2019,
70,Site-10,2/27/2019,
71,Site-1,3/6/2019,
72,Site-2,3/6/2019,
73,Site-3,3/6/2019,
74,Site-4,3/6/2019,
75,Site-5,3/6/2019,
76,Site-6,3/6/2019,
77,Site-7,3/6/2019,
78,Site-8,3/6/2019,
79,Site-9,3/6/2019,Would not calibrate. Redeployed with no calibration
80,Site-10,3/6/2019,
81,Site-1,3/13/2019,
82,Site-2,3/13/2019,
83,Site-3,3/13/2019,
84,Site-4,3/13/2019,
85,Site-5,3/13/2019,
86,Site-6,3/13/2019,
87,Site-7,3/13/2019,
88,Site-8,3/13/2019,
89,Site-9,3/13/2019,
90,Site-10,3/13/2019,logger missing camp maintenance pulled it out on 3/8/19
91,Site-1,3/20/2019,
92,Site-2,3/20/2019,
93,Site-3,3/20/2019,
94,Site-4,3/20/2019,
95,Site-5,3/20/2019,
96,Site-6,3/20/2019,
97,Site-7,3/20/2019,
98,Site-8,3/20/2019,
99,Site-9,3/20/2019,
100,Site-10,3/20/2019,
101,Site-1,3/27/2019,
102,Site-2,3/27/2019,
103,Site-3,3/27/2019,
104,Site-4,3/27/2019,Moved logger a little upstream from Garis Shop Road to Wagaman Road fishing pulloff
105,Site-5,3/27/2019,
106,Site-6,3/27/2019,
107,Site-7,3/27/2019,
108,Site-8,3/27/2019,
109,Site-9,3/27/2019,Found out of water would not calibrate brought back to office
110,Site-10,3/27/2019,
111,Site-1,4/4/2019,
112,Site-2,4/4/2019,
113,Site-3,4/4/2019,
114,Site-4,4/4/2019,
115,Site-5,4/4/2019,
116,Site-6,4/4/2019,
117,Site-7,4/4/2019,
118,Site-8,4/4/2019,
119,Site-9,4/4/2019,
120,Site-10,4/4/2019,
121,Site-1,4/15/2019,
122,Site-2,4/15/2019,
123,Site-3,4/15/2019,
124,Site-4,4/15/2019,
125,Site-5,4/15/2019,
126,Site-6,4/15/2019,
127,Site-7,4/15/2019,
128,Site-8,4/15/2019,
129,Site-9,4/15/2019,
130,Site-10,4/15/2019,
131,Site-1,4/25/2019,
132,Site-2,4/25/2019,
133,Site-3,4/25/2019,
134,Site-4,4/25/2019,
135,Site-5,4/25/2019,
136,Site-6,4/25/2019,
137,Site-7,4/25/2019,
138,Site-8,4/25/2019,Found partially out of water. Hard to calibrate.
139,Site-9,4/25/2019,hard to get it to calibrate
140,Site-10,4/25/2019,hard to get it to calibrate
141,Site-1,5/6/2019,
142,Site-2,5/6/2019,high flow could not locate
143,Site-3,5/6/2019,high flow could not locate
144,Site-4,5/6/2019,
145,Site-5,5/6/2019,
146,Site-6,5/6/2019,
147,Site-7,5/6/2019,flow too high no calibration
148,Site-8,5/6/2019,high flow could not locate
149,Site-9,5/6/2019,
150,Site-10,5/6/2019,Would not calibrate but redeployed
151,Site-1,5/14/2019,
152,Site-2,5/14/2019,high flow could not locate
153,Site-3,5/14/2019,high flow could not locate
154,Site-4,5/14/2019,
155,Site-5,5/14/2019,
156,Site-6,5/14/2019,
157,Site-7,5/14/2019,
158,Site-8,5/14/2019,high flow could not locate
159,Site-9,5/14/2019,
160,Site-10,5/14/2019,
161,Site-1,5/23/2019,
162,Site-2,5/23/2019,
163,Site-3,5/23/2019,
164,Site-4,5/23/2019,
165,Site-5,5/23/2019,
166,Site-6,5/23/2019,
167,Site-7,5/23/2019,calibration would not stabilize so no calibration
168,Site-8,5/23/2019,Would not calibrate brought back to office
169,Site-9,5/23/2019,Would not calibrate reading 8.1 so data good. Brought back to office
170,Site-10,5/23/2019,would not calibrate brought back to office
171,Site-1,5/28/2019,
172,Site-7,5/28/2019,
173,Site-8,5/28/2019,
174,Site-9,5/28/2019,
175,Site-10,5/28/2019,
176,Site-1,6/3/2019,
177,Site-2,6/3/2019,
178,Site-3,6/3/2019,"Redeployed after 5% HCl soak
"
179,Site-4,6/3/2019,Redeployed after 5% HCl soak
180,Site-5,6/3/2019,redeployed after 5% HCl soak
181,Site-6,6/3/2019,"Would not calibrate
"
182,Site-7,6/3/2019,"failed to calibrate so pulled logger
"
183,Site-8,6/3/2019,Would not calibrate brought back to office
184,Site-9,6/3/2019,would not calibrate brought back to office
185,Site-10,6/3/2019,"would not calibrate brought back to office
"
186,Site-1,6/6/2019,Replace with new logger that had a new sensor
187,Site-2,6/6/2019,Replace with new logger that had a new sensor
188,Site-3,6/6/2019,Replace with new logger that had a new sensor
189,Site-4,6/6/2019,Replace with new logger that had a new sensor
190,Site-5,6/6/2019,Replace with new logger that had a new sensor
191,Site-6,6/6/2019,Replaced sensor and redeployed
192,Site-7,6/6/2019,replaced pH sensor and redeployed
193,Site-8,6/6/2019,Replaced pH sensor and redeployed
194,Site-9,6/6/2019,redeployed logger with new sensor
195,Site-10,6/6/2019,redeployed logger with new sensor
196,Site-1,6/12/2019,
197,Site-2,6/12/2019,
198,Site-3,6/12/2019,
199,Site-4,6/12/2019,
200,Site-5,6/12/2019,
201,Site-6,6/12/2019,
202,Site-7,6/12/2019,
203,Site-8,6/12/2019,
204,Site-9,6/12/2019,
205,Site-10,6/12/2019,
206,Site-1,6/24/2019,
207,Site-2,6/24/2019,
208,Site-3,6/24/2019,
209,Site-4,6/24/2019,
210,Site-5,6/24/2019,
211,Site-6,6/24/2019,
212,Site-7,6/24/2019,
213,Site-8,6/24/2019,
214,Site-9,6/24/2019,
215,Site-10,6/24/2019,
216,Site-1,7/3/2019,
217,Site-2,7/3/2019,
218,Site-3,7/3/2019,
219,Site-4,7/3/2019,
220,Site-5,7/3/2019,
221,Site-6,7/3/2019,
222,Site-7,7/3/2019,
223,Site-8,7/3/2019,
224,Site-9,7/3/2019,
225,Site-10,7/3/2019,
226,Site-1,7/15/2019,
227,Site-2,7/15/2019,
228,Site-3,7/15/2019,
229,Site-4,7/15/2019,
230,Site-5,7/15/2019,
231,Site-6,7/15/2019,
232,Site-7,7/15/2019,
233,Site-8,7/15/2019,
234,Site-9,7/15/2019,
235,Site-10,7/15/2019,
236,Site-1,7/24/2019,
237,Site-2,7/24/2019,
238,Site-3,7/24/2019,
239,Site-4,7/24/2019,
240,Site-5,7/24/2019,
241,Site-6,7/24/2019,
242,Site-7,7/24/2019,
243,Site-8,7/24/2019,
244,Site-9,7/24/2019,
245,Site-10,7/24/2019,
246,Site-1,8/5/2019,
247,Site-2,8/5/2019,
248,Site-3,8/5/2019,
249,Site-4,8/5/2019,
250,Site-5,8/5/2019,
251,Site-6,8/5/2019,
252,Site-7,8/5/2019,
253,Site-8,8/5/2019,
254,Site-9,8/5/2019,
255,Site-10,8/5/2019,
256,Site-1,8/14/2019,
257,Site-2,8/14/2019,
258,Site-3,8/14/2019,
259,Site-4,8/14/2019,
260,Site-5,8/14/2019,
261,Site-6,8/14/2019,
262,Site-7,8/14/2019,
263,Site-8,8/14/2019,
264,Site-9,8/14/2019,
265,Site-10,8/14/2019,
266,Site-1,8/26/2019,Found out of water
267,Site-2,8/26/2019,
268,Site-3,8/26/2019,
269,Site-4,8/26/2019,
270,Site-5,8/26/2019,
271,Site-6,8/26/2019,Logger pulled. Glass bulb broke when cleaning slimy algal growth off the logger. Replace with diferent logger same day. no calibration
272,Site-7,8/26/2019,
273,Site-8,8/26/2019,
274,Site-9,8/26/2019,
275,Site-10,8/26/2019,
276,Site-1,9/4/2019,
277,Site-2,9/4/2019,
278,Site-3,9/4/2019,
279,Site-4,9/4/2019,
280,Site-5,9/4/2019,
281,Site-6,9/4/2019,
282,Site-7,9/4/2019,
283,Site-8,9/4/2019,
284,Site-9,9/4/2019,
285,Site-10,9/4/2019,
286,Site-1,9/16/2019,
287,Site-2,9/16/2019,
288,Site-3,9/16/2019,
289,Site-4,9/16/2019,
290,Site-5,9/16/2019,
291,Site-6,9/16/2019,difficulty calibration stabilizing
292,Site-7,9/16/2019,
293,Site-8,9/16/2019,
294,Site-9,9/16/2019,
295,Site-10,9/16/2019,
296,Site-1,9/25/2019,
297,Site-2,9/25/2019,found out of water
298,Site-3,9/25/2019,
299,Site-4,9/25/2019,
300,Site-5,9/25/2019,
301,Site-6,9/25/2019,difficulty calibration stabilizing
302,Site-7,9/25/2019,
303,Site-8,9/25/2019,
304,Site-9,9/25/2019,
305,Site-10,9/25/2019,
306,Site-1,10/7/2019,
307,Site-2,10/7/2019,
308,Site-3,10/7/2019,
309,Site-4,10/7/2019,
310,Site-5,10/7/2019,
311,Site-6,10/7/2019,
312,Site-7,10/7/2019,
313,Site-8,10/7/2019,
314,Site-9,10/7/2019,Failed to calibrate brought back to office
315,Site-10,10/7/2019,
316,Site-1,10/10/2019,
317,Site-2,10/10/2019,
318,Site-9,10/10/2019,
319,Site-1,10/16/2019,
320,Site-2,10/16/2019,
321,Site-3,10/16/2019,
322,Site-4,10/16/2019,
323,Site-5,10/16/2019,
324,Site-6,10/16/2019,Redeployed after 5% HCl soak
325,Site-7,10/16/2019,
326,Site-8,10/16/2019,
327,Site-9,10/16/2019,
328,Site-10,10/16/2019,
329,Site-1,10/28/2019,Would not calibrate
330,Site-2,10/28/2019,would not calibrate
331,Site-3,10/28/2019,
332,Site-4,10/28/2019,
